top - 19:09:16 up 8 days,  1:13,  1 user,  load average: 1.60, 2.04, 1.89
Tasks: 182 total,   2 running, 180 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7.1 us,  8.6 sy,  0.0 ni, 82.9 id,  0.0 wa,  1.4 hi,  0.0 si,  0.0 st
MiB Mem :   7810.7 total,   1928.2 free,   2222.8 used,   3659.7 buff/cache
MiB Swap:    512.0 total,    511.9 free,      0.1 used.   5044.6 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
28542 root      20   0       0      0      0 I   0.0   0.0   0:00.28 kworker/1:0-mm_percpu_wq
28729 root      20   0       0      0      0 I   0.0   0.0   0:00.68 kworker/0:3-events
28847 root      20   0       0      0      0 I   0.0   0.0   0:00.20 kworker/2:2-pm
28849 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:1-events_long
28879 root      20   0       0      0      0 I   0.0   0.0   0:00.19 kworker/3:0-mm_percpu_wq
29007 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u9:2-hci0
30162 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0-cgroup_destroy
30164 root      20   0       0      0      0 I   0.0   0.0   0:00.18 kworker/u8:3-phy0
30169 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker/3:2-mm_percpu_wq
30181 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/119-mei_txe
30199 root      20   0       0      0      0 I   0.0   0.0   0:00.14 kworker/u8:37-phy0
30200 root      20   0       0      0      0 I   0.0   0.0   0:00.36 kworker/u8:38-events_unbound
30207 root      20   0       0      0      0 I   0.0   0.0   0:00.12 kworker/3:3-events
30309 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ath9k-hwrng
30449 vlad      20   0   11144   3396   2916 S   0.0   0.0   0:00.02 clion.sh
30552 vlad      20   0    6704   1520   1316 S   0.0   0.0   0:00.10 fsnotifier64
30655 vlad      20   0 1678992 197460 115416 S   0.0   2.5   0:15.12 Web Content
30691 vlad      20   0 1492576  78860  59820 S   0.0   1.0   0:00.64 Web Content
30735 vlad      20   0  614628  87284  45392 S   0.0   1.1   0:07.94 evince
30739 vlad      20   0  167024   4340   3928 S   0.0   0.1   0:00.00 evinced
30777 vlad      20   0   15160   6728   4352 S   0.0   0.1   0:00.54 zsh
31042 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:1

top - 19:09:19 up 8 days,  1:13,  1 user,  load average: 1.47, 2.01, 1.88
Tasks: 182 total,   1 running, 181 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5.7 us,  2.4 sy,  0.0 ni, 91.1 id,  0.0 wa,  0.5 hi,  0.2 si,  0.0 st
MiB Mem :   7810.7 total,   1899.1 free,   2252.0 used,   3659.6 buff/cache
MiB Swap:    512.0 total,    511.9 free,      0.1 used.   5015.4 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
30503 vlad      20   0 5870688 802096  40792 S   6.6  10.0   7:00.77 java
19742 vlad      20   0 2126340 243688 101112 S   5.6   3.0  12:05.35 Discord
  511 root      20   0  438252  89232  57360 S   4.6   1.1 146:16.95 Xorg
19684 vlad      20   0 1449324 111940  73412 S   4.3   1.4   8:35.38 Discord
26885 vlad      20   0 2371844 294280 138236 S   3.3   3.7 104:45.27 Web Content
23333 vlad      20   0 2149132 186720  71276 S   2.3   2.3  10:26.89 Telegram
31131 vlad      25   5   74004  72648   1076 S   1.3   0.9   0:00.10 ex2
31140 vlad      20   0   19276   3320   2960 R   1.0   0.0   0:00.05 top
  499 root      20   0 1374612  74804  41240 S   0.7   0.9  10:46.64 dockerd
   10 root      -2   0       0      0      0 I   0.3   0.0   0:52.75 rcu_preempt
  465 root      20   0  987168  21588  15204 S   0.3   0.3   1:25.20 NetworkManager
  548 root      20   0 1403656  39340  22624 S   0.3   0.5   8:53.12 docker-containe
 1113 vlad       9 -11 1647128  13172   9536 S   0.3   0.2  19:44.85 pulseaudio
28729 root      20   0       0      0      0 I   0.3   0.0   0:00.69 kworker/0:3-events
    1 root      20   0  215704   8952   6744 S   0.0   0.1   0:06.58 systemd
    2 root      20   0       0      0      0 S   0.0   0.0   0:00.27 kthreadd
    3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
